community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title
7.9,Good,"When Piglet is frightened by a tree shadow, he gets teased by his friends for being so timid. Piglet decides to head off and lead another life, without anyone to ?save? him from imagined monsters. Piglet?s friends begin to miss him and fall asleep thinking of their runaway pal.

Once outside The Hundred Acre Wood, Piglet discovers a magical telescope that allows him to enter his friends? dreams. When Piglet does this, he discovers that his friends are having nightmares where Heffalumps and Woozles are stealing what they hold most dear. Piglet decides it?s time for him to be brave, and save the dreams of all his friends.",Doki Denki Studio,Adventure,7.0,Good,GCN PS2 PC GBA,19.99 USD,Gotham Games,E for Everyone,Suitable for Persons Ages Six and Older,"http://www.ign.com/games/luigis-mansion/gcn-15453,http://www.ign.com/games/star-fox-adventures/gcn-16140,http://www.ign.com/games/harvest-moon-magical-melody/gcn-780378,http://www.ign.com/games/the-legend-of-zelda-the-wind-waker/gcn-17012,http://www.ign.com/games/super-smash-bros-melee/gcn-16387,http://www.ign.com/games/super-mario-sunshine/gcn-16713","March 18, 2003",http://cube.ign.com/articles/389/389502p1.html,Piglet's BIG Game
7.6,Good,"Tao Feng: Fist of the Lotus is the perfect blend of fighting realism and stunning special effects. Tao Feng: Fist of the Lotus delivers a classic battle between good and evil as two ancient Chinese clans of superfighters, each seeking to uncover the secrets of immortality, battle for dominance. Hand-to-hand combat is furiously intense with amazingly realistic fighting and stunning special effects. Arenas are highly interactive and destructive. When the fight ends, players will witness the devastation of battle.",Studio Gigante,Fighting,8.7,Great,Xbox,9.99 USD,Microsoft,M for Mature,Mild Realistic Violence,"http://www.ign.com/games/mortal-kombat-shaolin-monks/xbox-709116,http://www.ign.com/games/mortal-kombat-armageddon/xbox-794353,http://www.ign.com/games/marvel-nemesis-rise-of-the-imperfects/xbox-681937,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526","March 18, 2003",http://xbox.ign.com/articles/389/389505p1.html,Tao Feng: Fist of the Lotus
8.6,Great,"Dr. Eggman is up to his old tricks again, and the world?s fastest hedgehog must put a stop to it.Your favorite characters are back in Sonic?s fastest adventure ever, and it?s only available on Game Boy Advance. A new friend named Cream the Rabbit joins Sonic, as they embark on a blazingly fast quest to collect Chaos Emeralds and thwart Dr. Eggman?s nefarious machines. Evade the obstacles and enemies, unlock secret areas, and uncover the hidden Chaos Emeralds to transform into Super Sonic for the final battle! Sonic Advance 2 is the full sequel to one of the best-selling Game Boy Advance titles ever. With vibrant backgrounds and faster speed than ever before, all of the lightning action of Sonic is back!","SEGA, Dimps",Platformer,9.0,Amazing,GBA,37.99 USD,THQ,E for Everyone,,"http://www.ign.com/games/super-mario-bros-3/gba-497892,http://www.ign.com/games/super-mario-world/gba-16931,http://www.ign.com/games/super-mario-world-2-yoshis-island/gba-482090,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",March 2003,http://gameboy.ign.com/articles/389/389500p1.html,Sonic Advance 2
6.6,Okay,"MLB 2004 incorporates dozens of camera angles, auto action replays, play-by-play from Hall of Famer Vin Scully and commentary from ESPN's Dave Campbell for a true network-style presentation that delivers all the action and excitement from Opening Day to the Fall Classic.",989 Sports,Sports,4.9,Bad,PS2 PS Cell,39.99 USD,Sony Computer Entertainment,E for Everyone,,"http://www.ign.com/games/madden-nfl-2001/ps2-14286,http://www.ign.com/games/tony-hawks-underground/ps2-545800,http://www.ign.com/games/tony-hawks-pro-skater-4/ps2-482065,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576","March 11, 2003",http://ps2.ign.com/articles/389/389535p1.html,MLB 2004
8.3,Great,"Part of the Telegames

series of handheld pick-up games.

includes a collection of favorite strategy challenges. Playable games include Chess, Checkers, Backgammon, Mahjong, Dominoes, 4-in-a-Row, Sink the Ships, and Reversi. Features include 2D and 3D graphics, 2-player link play, and downloadable multiplayer.",Cosmigo,Puzzle,8.5,Great,GBA PS NDS,29.99 USD,Telegames,E for Everyone,Suitable for Persons Ages Six and Older,"http://www.ign.com/games/barbie-superpack/gba-490732,http://www.ign.com/games/tweety-and-the-magic-gems/gba-15444,http://www.ign.com/games/super-monkey-ball-jr/gba-480095,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508","March 19, 2003",http://gameboy.ign.com/articles/390/390021p1.html,Ultimate Brain Games
8.2,Great,"Adventurers beware - Rayman's universe has exploded into a wacked-out world of cartoon mayhem and mind-blowing battles! When Globox accidentally swallows the Lord of the Dark Lums, a fanatic army of trigger-happy Hoodlums wreaks total havoc to get their Lord back! Rayman's only chance? Journey the vast reaches of the world to purge the Dark Lum Lord from the manic Globox, scour the lands for unearthly new powers, and do battle with hordes of Hoodlum soldiers, contraptions, and maniacal bosses. This time, it's war!",Ubisoft,Action,8.4,Great,Xbox GBA PS3 PS2 Mac PC GCN Xbox 360 Cell NNG digiBLAST Wii U,9.99 USD,Ubisoft,E for Everyone,Comic Mischief,"http://www.ign.com/games/fable/xbox-16526,http://www.ign.com/games/grand-theft-auto-san-andreas/xbox-623715,http://www.ign.com/games/beyond-good-and-evil/xbox-482232,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526","March 18, 2003",http://xbox.ign.com/articles/389/389981p1.html,Rayman 3: Hoodlum Havoc
7.3,Good,"In Worms Blast, you control one of eight worms while trying to sink your opponent's boat in single or multi-player matches. Combining familiar weapons such as the holy hand grenade, bazookas, shotguns, and grenades with new additions such as sea monster attacks, meteor storms and Torpedoes, this game requires genuine skill and strategy to survive.",Team17 Software,Puzzle,7.5,Good,Mac PS2 GBA GCN PC,19.99 USD,"Feral Interactive, Ubisoft",E for Everyone,Mild Violence,"http://www.ign.com/games/road-not-taken/mac-20010420,http://www.ign.com/games/the-talos-principle/mac-20019867,http://www.ign.com/games/expand/mac-20027099,http://www.ign.com/games/divinity-original-sin-enhanced-edition/mac-20037340,http://www.ign.com/games/divinity-original-sin/mac-135173,http://www.ign.com/games/elder-scrolls-online/mac-133733","Mar 1, 2003",http://mac.ign.com/articles/390/390000p1.html,Worms Blast
6.9,Okay,"Take the wheel as one of five big rig drivers in Sega's tractor-trailor drivng game, King of Route 66.  The gamer has the duty of safely delivering their load cross country but this ain't some Sunday drive as the rival Tornado Trucking company will do all they can to make sure the convoy does not reach it's destination.  But you've got 18 wheels and 20 tons of nitro charged truck at your command and you'll need to use every bit of it to be come the king.",SEGA-AM2,Racing,6.0,Okay,PS2,17.99 USD,SEGA,T for Teen,Mild Animated Violence,"http://www.ign.com/games/gran-turismo-3-a-spec/ps2-13846,http://www.ign.com/games/action-replay-ultimate-codes-need-for-speed-underground-2/ps2-679032,http://www.ign.com/games/need-for-speed-most-wanted/ps2-740897,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576","March 18, 2003",http://ps2.ign.com/articles/389/389912p1.html,The King of Route 66
6.5,Okay,"The unprecedented experience of Evolution Snowboarding offers players a selection of 10 real riders - including 2002 Winter Olympic silver medallist Danny Kass - and top of the line gear that only the best snowboarders in the world use themselves. Once gamers have chosen their boarder and equipment, nothing can stop them from performing wicked tricks and shredding up the slopes.

This action-packed slopes experience offers an easy-to-use control scheme for snowboarders and novice gamers alike, while fusing combative action with high speed riding down the hills. A new ""Mission Style"" mode adds to the excitement by featuring unique new mysterious and exotic levels - including Chinatown - along with fun objectives to accomplish.",Konami OSA (KCEO),"Extreme Sports, Sports",3.4,Awful,GCN PS2,44.99 USD,Konami,T for Teen,Animated Violence,"http://www.ign.com/games/bmx-xxx/gcn-17510,http://www.ign.com/games/mario-superstar-baseball/gcn-716495,http://www.ign.com/games/madden-nfl-2006/gcn-698630,http://www.ign.com/games/the-legend-of-zelda-the-wind-waker/gcn-17012,http://www.ign.com/games/super-smash-bros-melee/gcn-16387,http://www.ign.com/games/super-mario-sunshine/gcn-16713","February 26, 2003",http://cube.ign.com/articles/389/389668p1.html,Evolution Snowboarding
8.2,Great,"At its peak, the Roman Empire encompassed most of Europe and North Africa. Praetorians focuses on military combat between three civilizians: Romans, Barbarians (Gauls, Germanics, Celts) and Egyptians. The only resource that is managed are troops that can be recruited and trained from captured villages. Through fighting, units also become more seasoned, gaining better armor and combat abilities. Deploying chiefs with units provides more formations and special abilities. The single-player story has three intertwined campaigns: one within the Roman Empire, one in Central and Northern Europe, and one in Egypt. Exciting missions include the siege of fortresses, which can be entered by destroying the gates or scaling the walls with ladders and assault towers.",Pyro Studios,"Real-Time, Strategy",8.9,Great,PC,29.99 USD,Eidos Interactive,T for Teen,Violence,"http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","March 11, 2003",http://pc.ign.com/articles/389/389330p1.html,Praetorians
