publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
Atlus,RPG,Sting,"You awaken to find the world in ruin, your heart beset with unexplained guilt. A cataclysm has destroyed the cities and empires of men and disfigured the spirit of humanity. In this nightmare, it falls to you to descend a mysterious tower in search of absolution. Battle merciless foes through treacherous dungeons, scour for new items to aid you in your travels, and unlock the secrets of a devastated land. You will find death in the depths, yet learn that death is not the end of the story; in the twisted world of Baroque, it is only the beginning.",Baroque,http://www.ign.com/games/baroque/wii-14223943,http://wii.ign.com/articles/870/870063p1.html,39.99 USD,5.4,Wii PS2,"April 8, 2008","http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/xenoblade-chronicles/wii-14354769,http://www.ign.com/games/paper-mario/wii-909595,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Good,7.1,"Animated Blood, Fantasy Violence, Mild Language, Mild Suggestive Themes, Tobacco Reference",T for Teen,Mediocre
Aksys Games,Flight,Sonic Powered Co. Ltd.,"Bring the popular RC hobby onto your television screen with MiniCopter: Adventure Flight on the Wii in the spring of 2008. Using the exclusive control features of the Wii, gamers have full control over their MiniCopter -- choose from the Wii Remote tilt, pointer controls or play with a Classic Controller! Engage in 42 missions in 7 different environments from a child's bedroom, hospital, hotel room and more! Use your air cannon and lift suction to discover hidden areas and coins. Outfit your helicopter with a variety of body kits and parts that can alter the performance of your heli and improve your scores in Mission Mode. And battle against your friend in a Race for the Rings Mode to see who's the best helicopter pilot!",MiniCopter: Adventure Flight,http://www.ign.com/games/minicopter-adventure-flight/wii-954237,http://wii.ign.com/articles/870/870095p1.html,29.99 USD,4.0,Wii,"April 8, 2008","http://www.ign.com/games/blazing-angels-squadrons-of-wwii/wii-846378,http://www.ign.com/games/combat-wings-the-great-battles-of-wwii/wii-23783,http://www.ign.com/games/star-fox-64/wii-865245,http://www.ign.com/games/combat-wings-the-great-battles-of-wwii/wii-23783,http://www.ign.com/games/wwii-aces/wii-14224276,http://www.ign.com/games/final-furlong/wii-827149,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Okay,6.2,,E for Everyone,Bad
SNK Playmore,Action,SNK [1978-2001],"Some of the greatest SNK arcade games of all time are 
now here in this compilation pack. Volume 1 includes 
16 of the best games from the SNK catalog in one 
compilation. Included are Art of Fighting, Baseball 
Stars 2, Burning Fight, Fatal Fury, King of Fighters 
'94, King of the Monsters, Last Resort, Magician Lord, 
Metal Slug, Neo Turf Masters, Samurai Shodown, 
Sengoku, Shock Troopers, Super Sidekicks 3, Top Hunter 
and World Heroes!",SNK Arcade Classics: Volume 1,http://www.ign.com/games/snk-arcade-classics-volume-1/ps2-965621,http://ps2.ign.com/articles/870/870098p1.html,19.99 USD,6.7,PS2 Wii PSP,"April 29, 2008","http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/kingdom-hearts/ps2-16467,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/guitar-hero-smash-hits/ps2-14327040,http://www.ign.com/games/fatal-fury-battle-archives-volume-1/ps2-910056,http://www.ign.com/games/taito-legends/ps2-744248,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Great,8.2,"Alcohol Reference, Blood, Mild Language, Suggestive Themes, Violence",T for Teen,Okay
Disney Interactive Studios,Action,Disney Interactive Studios,A videogame based on the Disney Channel TV show about a kid named Cory who finds himself whooping it up with D.C. big shots when his dad becomes the Official White House Chef!,Cory in the House,http://www.ign.com/games/cory-in-the-house/nds-14230573,http://ds.ign.com/articles/869/869658p1.html,29.99 USD,3.0,NDS,"April 15, 2008","http://www.ign.com/games/the-legend-of-zelda-phantom-hourglass/nds-694756,http://www.ign.com/games/the-legend-of-zelda-spirit-tracks/nds-14333936,http://www.ign.com/games/kingdom-hearts-3582-days/nds-964462,http://www.ign.com/games/pokemon-black-version-2/nds-129224,http://www.ign.com/games/pokemon-conquest/nds-125156,http://www.ign.com/games/pokemon-white-version-2/nds-129228",Amazing,9.2,Comic Mischief,E for Everyone,Awful
Rockstar  Games,"Third-Person, Action",Rockstar North,"GTA IV reinvents the series with a renewed version of Liberty City detailed to the last pothole and rooftop vent. There are now four boroughs to explore plus extra area outside of Liberty City proper. With the ability to climb obstacles, drive cars, steer boats and pilot helicopters, the world of GTA is more accessible than ever before.

In this fourth installment of the popular series, players take on the role of Niko Bellic, a rough-around-the-edge chap from Eastern Europe. Niko has arrived in America, in Liberty City -- a land full of promise and opportunity. His cousin convinced him to emigrate, to join him in his mansion and life of luxury, but as soon as he steps off the boat, Niko discovers the truth about the American way. Still, the wealth, the comfort, the bliss of the good life, it all really is here .... And it's all for the taking.",Grand Theft Auto IV,http://www.ign.com/games/grand-theft-auto-iv/xbox-360-827005,http://xbox360.ign.com/articles/869/869381p1.html,59.99 USD,10,Xbox 360 PC PS3,"April 29, 2008","http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/metal-gear-solid-5/xbox-360-149842,http://www.ign.com/games/rise-of-the-tomb-raider/xbox-360-20020152,http://www.ign.com/games/assassins-creed-black-flag/xbox-360-161487,http://www.ign.com/games/grand-theft-auto-v/xbox-360-20587,http://www.ign.com/games/grand-theft-auto-online/xbox-360-20006860,http://www.ign.com/games/metal-gear-online-mgs5/xbox-360-20028684,http://www.ign.com/games/halo-4/xbox-360-110563",Amazing,9.1,"Intense Violence, Blood, Strong Language, Strong Sexual Content, Partial Nudity, Use of Drugs and Alcohol",M for Mature,Masterpiece
Koei,Action,Omega Force,"Warriors Orochi is a crossover of two historical action epics, Dynasty Warriors and Samurai Warriors. In the game, Orochi the king of demons has merged together in time the Sengoku and Sangokushi periods in an attempt at world domination. The heroes of both Dynasty and Samurai Warriors must now fight together to defeat Orochi and his demon followers.

In addition to generals from both franchises, totalling over 70 playable characters in all, Warriors Orochi adds a new feature to gameplay: team battles with up to three team members. You can switch off between the three members as you take on the hundreds of enemies that line the fields and castles of the strange world created by the Orochi.",Warriors Orochi,http://www.ign.com/games/warriors-orochi/pc-14236909,http://pc.ign.com/articles/862/862303p1.html,,5.7,PC PS2 Xbox 360 PS3 PSP,"March 25, 2008","http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/metal-gear-solid-5/pc-20023125,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.7,"Mild Language, Mild Suggestive Themes, Violence",T for Teen,Mediocre
Mud Duck Productions,Sports,Atomic Planet,Experience the excitement of the lanes with AMF Bowling: Pinbusters! Take on the challenge alone in single-player mode or strike up competition with up to three of your friends in multiplayer mode. Pinbusters caters to any gamer looking for pick up and play action in a party atmosphere!,AMF Bowling: Pinbusters,http://www.ign.com/games/amf-bowling-pinbusters/wii-952395,http://wii.ign.com/articles/862/862371p1.html,29.99 USD,2.0,Wii NDS iPhone,"November 20, 2007","http://www.ign.com/games/wii-sports/wii-826987,http://www.ign.com/games/wii-sports-resort/wii-14266992,http://www.ign.com/games/fifa-2013/wii-115690,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Bad,4.2,Mild Suggestive Themes,E for Everyone,Painful
Square Enix,Shooter,Square,"A downloadable version of the 1989 NES game, provided through Nintendo's Virtual Console service.

In the kingdom of Izander, the fair Princess Claire has been kidnapped by a foul and insidious dragon, and it is the mission of four brave fighters to save her. Through five thrilling, fast-action stages, our gallant heroes-a knight, a wizard, a monster and a thief-will take on an army of incredible enemies. You must help them reach their goal, as you are now part of the team that will fight to free the princess from her imprisonment. Keep your wits about you, plan your strategy and set off on an exciting adventure.",King's Knight,http://www.ign.com/games/kings-knight/wii-14222977,http://wii.ign.com/articles/861/861762p1.html,5 USD,3.0,Wii PC88 NES,"March 24, 2008","http://www.ign.com/games/call-of-duty-modern-warfare-3/wii-114747,http://www.ign.com/games/goldeneye-007/wii-867280,http://www.ign.com/games/resident-evil-umbrella-chronicles/wii-827187,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Unbearable,1.7,Mild Fantasy Violence,E for Everyone,Awful
Square,"Turn-Based, RPG",Square,"Square's King's Knight is a vertically-scrolling shooter, where the main objective is to dodge and destroy enemies. Various items, however, add depth to the game. As any character, you can collect various power-ups to increase a character's level (maximum of 20 levels per character): speed increase, weapon increase, armor increase, jump increase, and life increase. To balance out the life increases, there are life decreases. Other onscreen icons can affect the stage, such as cave entrances/exits and a secret revealer, which reveals hidden stones that block your progress. Finally, there are four types of elements to be collected in each level, which are vital to the completion of the last stage.",King's Knight,http://www.ign.com/games/kings-knight/nes-7641,http://retro.ign.com/articles/884/884534p1.html,,3.0,NES PC88 Wii,"Sep 18, 1989","http://www.ign.com/games/final-fantasy/nes-6010,http://www.ign.com/games/dragon-quest/nes-6015,http://www.ign.com/games/dragon-quest-iv/nes-6012,http://www.ign.com/games/the-legend-of-zelda/nes-5990,http://www.ign.com/games/super-mario-bros-3/nes-6694,http://www.ign.com/games/super-mario-bros/nes-6693",Okay,6.5,,,Awful
Conspiracy Entertainment,Shooter,Neko Entertainment,"Free Fairy and become a sharp shooter in this shooting gallery-type game featuring the Cocoto character. This title features four game modes: Arcade, Training, Duel, and Tournament. Play through 40 mini-games and compete with up to three of your friends.",Cocoto Magic Circus,http://www.ign.com/games/cocoto-fun-fair/wii-891339,http://wii.ign.com/articles/862/862389p1.html,29.99 USD,5.8,Wii PS2 GCN,"February 26, 2008","http://www.ign.com/games/call-of-duty-modern-warfare-3/wii-114747,http://www.ign.com/games/goldeneye-007/wii-867280,http://www.ign.com/games/resident-evil-umbrella-chronicles/wii-827187,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Bad,4.4,Cartoon Violence,E10+ for Everyone 10 and older,Mediocre
