community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
9.0,Amazing,"Wage war with the most powerful heroes from Blizzard Entertainment's game universes in the explosive multiplayer game Heroes of the Storm, based on the classic and hugely influential Defense of the Ancients game MOD. Heroes of the Storm is a team-based competitive game in which each player controls a powerful hero with unique abilities, and works with his or her team to invade and destroy the enemy team's base.

Over the course of a match, waves of computer-controlled creatures for each team advance automatically across the map along different pathways. Players fight alongside these creatures to advance the battlefront, destroy enemy towers, and eventually push into the enemy base. Other points of interest are guarded by neutral hostile creatures; capturing and controlling these points grants bonuses to your team. As your team kills computer-controlled creatures and other players, your hero will gain experience and levels to strengthen his or her special abilities. You'll also earn gold which you can use to purchase upgrades and items to customize and improve your hero over the course of a match.",Blizzard Entertainment,"Real-Time, Strategy",6.5,Okay,Mac PC,,Blizzard Entertainment,T for Teen,"Crude Humor, Fantasy Violence, Mild Blood, Mild Language, Mild Suggestive Themes, Includes online features that may expose players to unrated user-generated content","http://www.ign.com/games/prison-architect/mac-145353,http://www.ign.com/games/xcom-2/mac-20038028,http://www.ign.com/games/warhammer-40k-dawn-of-war-3/mac-20069059,http://www.ign.com/games/divinity-original-sin-enhanced-edition/mac-20037340,http://www.ign.com/games/divinity-original-sin/mac-135173,http://www.ign.com/games/elder-scrolls-online/mac-133733","June 2, 2015",http://www.ign.com/articles/2015/06/02/heroes-of-the-storm-review,Heroes of the Storm,http://www.ign.com/games/heroes-of-the-storm/mac-120622
7.7,Good,"Ride your music! Audiosurf 2 is a customizable music game that works with any song. Choose a song, choose a mod, choose a skin, then jump in on the track and try to earn the top score! The highlight of Audiosurf 2 (so far) is wakeboarding mode, but there's also classic modes, Audiosprint (party mode), and more to come. There is also a range of modification options, allowing the public to contribute new components of the Audiosurf experience.","Audiosurf, LLC.",Music,7.5,Good,PC,14.99 USD,"Audiosurf, LLC.",,,"http://www.ign.com/games/rocksmith/pc-103241,http://www.ign.com/games/just-dance-2017/pc-20054816,http://www.ign.com/games/kickbeat/pc-20012067,http://www.ign.com/games/lords-of-the-fallen/pc-131477,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/guacamelee/pc-20003228,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","May 26, 2015",http://www.ign.com/articles/2015/05/29/audiosurf-2-review,Audiosurf 2,http://www.ign.com/games/audiosurf-2/pc-20006507
0.8,Disaster,"Aaru's Awakening is a hand-drawn, fast-paced 2D action platformer. The game puts players in charge of Aaru, a mythical creature with two unique abilities; teleportation and charging. He uses these abilities as he travels through the dangerous world of Lumenox to defeat an evil entity. These two abilities are at the heart of every level design throughout the game, to make for a challenging and fluid experience. The levels require players to make split second decisions whilst completing fast-paced puzzles.",Lumenox Games,Platformer,6.7,Okay,PC Xbox One PS3 Mac PS4,,Lumenox Games,E for Everyone,Mild Fantasy Violence,"http://www.ign.com/games/shovel-knight/pc-162603,http://www.ign.com/games/limbo/pc-110626,http://www.ign.com/games/rayman-legends/pc-20003028,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","February 24, 2015",http://www.ign.com/articles/2015/03/02/aarus-awakening-review,Aaru's Awakening,http://www.ign.com/games/aarus-awakening/pc-20019235
6.6,Okay,"Test your limits against a brutal and mysterious world as Parvus, a curious warrior with no memory and a heavy burden. Raise your spear and cast ancient spells as you battle hostile creatures and towering bosses in procedurally-generated 2D landscapes that are both beautiful and dangerous.",Independent,Action,7.0,Good,PC,,Adult Swim Digital,,,"http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/metal-gear-solid-5/pc-20023125,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","February 27, 2015",http://www.ign.com/articles/2015/02/27/oblitus-review,Oblitus,http://www.ign.com/games/oblitus/pc-20033422
7.6,Good,"Frozen Cortex is a tactical future sports game. Two teams face off in a randomly-generated situation. You must design a play to get the ball into your opponent's endzone, using the stadium's terrain to your advantage.",Mode 7 Games,"Extreme, Strategy",8.1,Great,PC,,Mode 7 Games,RP for Rating Pending,,"http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/mechwarrior-online/pc-18954,http://www.ign.com/games/stardew-valley/pc-20001247,http://www.ign.com/games/omerta-city-of-gangsters-134706/pc-129676,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","February 19, 2015",http://www.ign.com/articles/2015/02/26/frozen-cortex-review,Frozen Cortex,http://www.ign.com/games/frozen-endzone/pc-162663
8.9,Great,"Since the discovery of the Guide Stone 100 years ago deep in the equatorial sand of our planet, Kharak, our very origins have come into question. Now, after 100 years of technological advancement and careful study, there is one inescapable revelation: We do not belong here. We are the last of our kind, and we have dedicated ourselves to one goal -- returning home... a mission that will put everything at risk.

Crafted with the assistance and guidance of the original creators as well as the help of a passionate fan community, Homeworld Remastered Collection introduces Relic's acclaimed space strategy games Homeworld and Homeworld 2 to modern players and operating systems using modern advances in graphics rendering technology. Homeworld Remastered Collection includes updated high-res textures and models, new graphical effects, and support for HD, UHD, and 4K resolutions. Homeworld's original audio and video artists have also recreated cinematic scenes in beautiful high fidelity.

Homeworld Remastered Collection uses Homeworld and Homeworld 2's original source audio to create a stunning new mix of effects and music. On top of that, multiplayer for both games has been combined into one centralized mode that will allow you to interact with other players like never before. This collection also includes archival versions of Homeworld Classic and Homeworld 2 Classic, preserving the purest form of the original releases with compatibility for modern operating systems.",Gearbox Software,"Real-Time, Strategy",9.0,Amazing,PC,,Gearbox Software,E10+ for Everyone 10 and older,"Fantasy Violence, Suggestive Themes, Includes online features that may expose players to unrated user-generated content","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","February 25, 2015",http://www.ign.com/articles/2015/02/24/homeworld-remastered-collection-review,Homeworld Remastered Collection,http://www.ign.com/games/homeworld-remastered-collection/pc-20002686
7.2,Good,"The Bright Lord is the second major Story Mission DLC pack for Middle-earth: Shadow of Mordor.

Play as Celebrimbor, the great Elven king of the Second Age, and face the Dark Lord Sauron and the might of his forces. Celebrimbor will use his new abilities to dominate Sauron and retrieve the One Ring in order to take control of Middle-earth.",Monolith Productions,Action,6.8,Okay,Xbox One PS3 PS4 PC Linux Xbox 360,,Warner Bros.  Interactive,,,"http://www.ign.com/games/grand-theft-auto-online/xbox-one-20019838,http://www.ign.com/games/metal-gear-online-mgs5/xbox-one-20028685,http://www.ign.com/games/metal-gear-solid-5/xbox-one-20000541,http://www.ign.com/games/resident-evil-7/xbox-one-20054863,http://www.ign.com/games/rise-of-the-tomb-raider/xbox-one-20002867,http://www.ign.com/games/assassins-creed-black-flag/xbox-one-161677,http://www.ign.com/games/grand-theft-auto-online/xbox-one-20019838,http://www.ign.com/games/mass-effect-andromeda/xbox-one-127966,http://www.ign.com/games/metal-gear-online-mgs5/xbox-one-20028685","Feb 23, 2015",http://www.ign.com/articles/2015/02/24/middle-earth-shadow-of-mordor-the-bright-lord-review,Middle-earth: Shadow of Mordor: The Bright Lord,http://www.ign.com/games/middle-earth-shadow-of-mordor-the-bright-lord-dlc/xbox-one-20032928
7.8,Good,"This is the first in a series of terrifying episodes comprising Resident Evil Revelations 2, a horror game drawn taut with dramatic cliff-hangers and gripping horror gameplay. With the terrifying Afflicted enemies waiting around every dark corner, players will need to use their ammo and weapon supply wisely, in classic survival horror style.",,Action,7.0,Good,Xbox One PS4 PC Vita PS3 Xbox 360,,Capcom,M for Mature,"Blood and Gore, Intense Violence, Strong Language, Includes online features that may expose players to unrated user-generated content","http://www.ign.com/games/grand-theft-auto-online/xbox-one-20019838,http://www.ign.com/games/metal-gear-online-mgs5/xbox-one-20028685,http://www.ign.com/games/metal-gear-solid-5/xbox-one-20000541,http://www.ign.com/games/resident-evil-7/xbox-one-20054863,http://www.ign.com/games/rise-of-the-tomb-raider/xbox-one-20002867,http://www.ign.com/games/assassins-creed-black-flag/xbox-one-161677,http://www.ign.com/games/grand-theft-auto-online/xbox-one-20019838,http://www.ign.com/games/mass-effect-andromeda/xbox-one-127966,http://www.ign.com/games/metal-gear-online-mgs5/xbox-one-20028685","February 24, 2015",http://www.ign.com/articles/2015/02/24/resident-evil-revelations-2-episode-1-review,Resident Evil Revelations 2 -- Episode 1,http://www.ign.com/games/resident-evil-revelations-2-episode-1/xbox-one-20030516
8.8,Great,"Dead or Alive 5: Last Round brings the definitive DOA 5 package to new-gen consoles. This fluid fighter marries its signature fighting style with MMA fighting techniques to deliver a major kick for players new and old. Visually striking scenes from around the world blended with a hard-hitting cast puts players in the roles of the cast of Dead or Alive fighters once again. In DoA 5, stages act not only as visual backdrops to accompany a fight but instead play to a fighter's strengths.  As a fight progresses, the backdrop will change and interact with players.  Skilled fighters will be able to utilize these dynamic stages to execute hard hitting blows, pitting their opponents against new obstacles creating a unique experience that will leave you breathless.

With each battle executing a new level of involvedness, the fighters themselves have become more complex in their design.  In Dead or Alive 5 players will be able to feel more involved in the action as they see their fighters sweat as they exert more energy. Players can also kick up the competition in online multiplayer modes where fighters must learn to utilize their strength and weaknesses to K.O. challengers.",Team Ninja,Fighting,7.0,Good,PS4 Xbox One PS3 PC Xbox 360,,Tecmo,M for Mature,"Partial Nudity, Sexual Themes, Violence, Includes online features that may expose players to unrated user-generated content","http://www.ign.com/games/ea-sports-ufc/ps4-169682,http://www.ign.com/games/street-fighter-5/ps4-20020046,http://www.ign.com/games/dragon-ball-xenoverse/ps4-20018804,http://www.ign.com/games/grand-theft-auto-online/ps4-20019833,http://www.ign.com/games/mass-effect-andromeda/ps4-20019740,http://www.ign.com/games/horizon-zero-dawn/ps4-83790","February 17, 2015",http://www.ign.com/articles/2015/02/23/dead-or-alive-5-last-round-review,Dead or Alive 5: Last Round,http://www.ign.com/games/dead-or-alive-5-last-round/ps4-20024058
7.5,Good,"Dead or Alive 5: Last Round brings the definitive DOA 5 package to new-gen consoles. This fluid fighter marries its signature fighting style with MMA fighting techniques to deliver a major kick for players new and old. Visually striking scenes from around the world blended with a hard-hitting cast puts players in the roles of the cast of Dead or Alive fighters once again. In DoA 5, stages act not only as visual backdrops to accompany a fight but instead play to a fighter's strengths.  As a fight progresses, the backdrop will change and interact with players.  Skilled fighters will be able to utilize these dynamic stages to execute hard hitting blows, pitting their opponents against new obstacles creating a unique experience that will leave you breathless.

With each battle executing a new level of involvedness, the fighters themselves have become more complex in their design.  In Dead or Alive 5 players will be able to feel more involved in the action as they see their fighters sweat as they exert more energy. Players can also kick up the competition in online multiplayer modes where fighters must learn to utilize their strength and weaknesses to K.O. challengers.",Team Ninja,Fighting,7.0,Good,Xbox One PC PS3 Xbox 360 PS4,,Tecmo,M for Mature,"Partial Nudity, Sexual Themes, Violence, Includes online features that may expose players to unrated user-generated content","http://www.ign.com/games/dragon-ball-xenoverse/xbox-one-20019916,http://www.ign.com/games/mortal-kombat-x/xbox-one-20019308,http://www.ign.com/games/ea-sports-ufc/xbox-one-169582,http://www.ign.com/games/grand-theft-auto-online/xbox-one-20019838,http://www.ign.com/games/mass-effect-andromeda/xbox-one-127966,http://www.ign.com/games/metal-gear-online-mgs5/xbox-one-20028685","February 17, 2015",http://www.ign.com/articles/2015/02/23/dead-or-alive-5-last-round-review,Dead or Alive 5: Last Round,http://www.ign.com/games/dead-or-alive-5-last-round/xbox-one-20024059
