community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title
5.4,Mediocre,"Conflict Zone is a military real-time strategy game with real-life consequences. There are television cameras trained on your every move so if citizens become outraged at your actions the military?s funding will go down. The campaigns involve not only military units, but also civilians, NGOs and the media. The main goal is to cause the political defeat of its enemy, not to destroy him.",Mathematiques Appliquees,Strategy,5.6,Mediocre,DC PS2 PC,22.99 USD,Ubisoft,T for Teen,Violence,"http://www.ign.com/games/worms-world-party/dc-14497,http://www.ign.com/games/vermilion-desert/dc-13268,http://www.ign.com/games/sakura-wars-809390/dc-13374,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967","December 20, 2001",http://dreamcast.ign.com/articles/164/164361p1.html,Conflict Zone: Modern War Strategy
6.6,Okay,"Battlecruiser Millennium is the groundbreaking sequel to the Battlecruiser series. Being the third title in the series, BCM is a technological breakthrough in all aspects of its implementation. Complete with over nine new or enhanced engines, including AI, graphics, soundfx etc, BCM steps into the new millennium flaunting the most advanced and visually splendid title ever seen in the series. In keeping with the tradition of providing endless, top notch gameplay, BCM continues to stretch the limits of player imagination by providing an even more thrilling player experience than any of its predecessors in this long running series.",3000AD,Simulation,7.2,Good,PC,39.99 USD,3000AD,T for Teen,Realistic Violence,"http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Nov 19, 2001",http://pc.ign.com/articles/167/167087p1.html,Battlecruiser Millennium
8.6,Great,"Return to the eerie town of Silent Hill in an all-new story with all-new characters. Players assume the role of James, who receives a cryptic letter from his wife - who has been dead for three years -- beckoning him to meet her in Silent Hill, a place that holds great meaning for the couple. The mystery of the letter frightens and confuses James, compelling him to investigate the surreal horror and all-too-real danger that awaits him.

Set amongst the dense fog and haunting darkness of the eerie town, accompanied by dramatic music presented in Dolby Surround, Silent Hill 2 pushes the boundaries of macabre horror. Benefiting from the advanced technological power of the Xbox, the visual expressions of the characters, weather conditions and the charnel-house gore of the game are intensely frightening. Players face over 10 new types of enemies and have access to a variety of new weapons, including a pistol and a steel pipe.",Konami TYO,Adventure,8.2,Great,Xbox PC PS2,9.99 USD,Konami,M for Mature,"Blood, Gore, Animated Violence","http://www.ign.com/games/call-of-cthulhu-dark-corners-of-the-earth/xbox-496019,http://www.ign.com/games/dreamfall-the-longest-journey/xbox-735105,http://www.ign.com/games/tom-clancys-splinter-cell/xbox-481175,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",December 2001,http://xbox.ign.com/articles/166/166240p1.html,Silent Hill 2: Restless Dreams
6.6,Okay,"Blossom, Buttercup and Bubbles, are flying on the GameBoy Advance. It seems that Mojo Jojo has stolen the city's jewels and has used them to power an army of cybernetic robots called ""Mobots"". With the Mobots unleashing a reign of terror on Townsville, it is up to The Powerpuff Girls to defeat Mojo Jojo and his minions and stop that bad little monkey from taking over Townsville!",Sennari Interactive,Action,6.5,Okay,GBA,11.99 USD,BAM! Entertainment,E for Everyone,Mild Violence,"http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",November 2001,http://gameboy.ign.com/articles/166/166760p1.html,The Powerpuff Girls: Mojo Jojo A-Go-Go!
7.7,Good,"NBA Inside Drive 2002 gets you into the game like never before! You're the player, the coach, and the general manager all in one. Take control of your favorite players & teams and lead them to the championship! Trade players and ink deals with free agents. Assemble your own playbook, then get your kicks on the court and take it to the hole. You can even change your team's strategy on the fly.

Complete with all-star play-by-play and color commentary from Kevin Calabro and Marques Johnson, NBA Inside Drive 2002 brings all the excitement and intensity of NBA basketball straight to the Xbox!",High Voltage Software,Sports,8.7,Great,Xbox,4.99 USD,Microsoft,E for Everyone,No Descriptors,"http://www.ign.com/games/espn-nfl-2k5/xbox-674666,http://www.ign.com/games/dead-or-alive-xtreme-beach-volleyball/xbox-482154,http://www.ign.com/games/tony-hawks-american-wasteland/xbox-740724,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526","January 23, 2002",http://xbox.ign.com/articles/166/166770p1.html,NBA Inside Drive 2002
6.1,Okay,"Deflect. Defeat. Destroy! Let the Force guide you to victory. Take back the Theed Royal Palace in fast and furious lightsaber assaults as one of three powerful Jedi: Obi-Wan Kenobi, Qui-Gon Jinn, or Mace Windu.",HotGen Studios,Action,4.0,Bad,GBA PS DC PS,26.99 USD,THQ,T for Teen,Mild Animated Violence,"http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508","November 22, 2001",http://gameboy.ign.com/articles/166/166385p1.html,Star Wars: Jedi Power Battles
7.6,Good,"Developed exclusively for Nintendo GameCube by Nintendo and Left Field, NBA Courtside 2002 taps into the power of Nintendo GameCube to deliver authentic NBA action that makes those other games look like they're stuck in the era of the two-handed jump shot. Up to four players can hit the hardwood simultaneously and talk trash to their hearts' content as they bust sweet cross-overs, first-step jukes and monster dunks.","Left Field  Productions, Inc.",Sports,7.5,Good,GCN,4.99 USD,Nintendo,E for Everyone,Suitable for Persons Ages Six and Older,"http://www.ign.com/games/bmx-xxx/gcn-17510,http://www.ign.com/games/mario-superstar-baseball/gcn-716495,http://www.ign.com/games/madden-nfl-2006/gcn-698630,http://www.ign.com/games/the-legend-of-zelda-the-wind-waker/gcn-17012,http://www.ign.com/games/super-smash-bros-melee/gcn-16387,http://www.ign.com/games/super-mario-sunshine/gcn-16713","January 14, 2002",http://cube.ign.com/articles/166/166576p1.html,NBA Courtside 2002
7.5,Good,"Zeonic Front is a 3D action game with an extremely heavy tactical bent, requiring that you manage up to three mobile suit teams both before and during a mission, planning out their routes and tactics in advance and adapting during battle to the conditions you encounter. This is accomplished through a waypoint-based navigation system -- you design the path you want a team to follow by connecting the dots around a map, and picking out particular points along the way where they should accomplish certain tasks. Rather, you need to learn the game's unique strategic principles, and more specifically, you have to learn the strategies that will win each mission. Zeonic Front features a wide variety of missions, from assault to defense to escort to intelligence-gathering, and plenty of different ways to customize the four available mobile suits: Zaku I, Zaku II, Gouf, and Dom.",Bandai,Strategy,6.5,Okay,PS2,12.99 USD,Bandai,T for Teen,Animated Violence,"http://www.ign.com/games/yu-gi-oh-gx-the-beginning-of-destiny/ps2-951226,http://www.ign.com/games/disgaea-1/ps2-535848,http://www.ign.com/games/front-mission-4/ps2-573997,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576","January 16, 2002",http://ps2.ign.com/articles/166/166456p1.html,Mobile Suit Gundam: Zeonic Front
5.1,Mediocre,"Hop into the driver's seat and prepare for the ride of your life in Cruis'n Velocity.  Grab the steering wheel of 10 different speed machines and race through 14 tracks, including Las Vegas and Mars!  Choose from the three gameplay modes of Cruis'n Cup, Championship and Freestyle mode as you challenge up to four of your friends using the Game Boy Advance Game Link cable (sold seperately).",Graphic State,Racing,6.0,Okay,GBA,9.99 USD,Midway  Games,E for Everyone,,"http://www.ign.com/games/mario-kart-super-circuit/gba-15249,http://www.ign.com/games/moto-racer-advance/gba-482173,http://www.ign.com/games/disney-sports-motocross/gba-490740,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",November 2001,http://gameboy.ign.com/articles/167/167122p1.html,Cruis'n Velocity
5.8,Mediocre,"You want classic action? Midway's Greatest Arcade Hits has your coin-operated excitement right here, delivering re-creations of 80s mega-hits. Sporting a decidedly sci-fi bent, the collection sends you to space in both DEFENDER and SINISTAR, and then whisks you off to the future for the likes of ROBOTRON 2084 and the inimitable JOUST. You don't have to remember the heyday of these 80s faves to get plenty of mileage from this collection.",Pocket Studios,Action,3.5,Awful,GBA,19.99 USD,Midway  Games,E for Everyone,Mild Violence,"http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/final-fantasy-i-and-ii-dawn-of-souls/gba-479100,http://www.ign.com/games/v-rally-checkered-flag/gba-801468,http://www.ign.com/games/paperboy/gba-746808,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",November 2001,http://gameboy.ign.com/articles/167/167145p1.html,Midway's Greatest Arcade Hits
