publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
LucasArts,Adventure,A2M (Artificial Mind and Movement),"Step into the shoes of the legendary hero, Indiana Jones, in an epic adventure! Set in the year 1939, Indiana Jones and the Staff of Kings follows the rogue archaeologist on an globe-trotting quest.From San Francisco's Chinatown to the lush jungles of Panama, Indy must use his whip, fists and wits to fight through ruthless opposition as he spars with his nemesis, Magnus Völler, in a race for a relic of biblical proportions -- the Staff of Moses.

Indiana Jones and the Staff of Kings features completely interactive environments, where players need to call upon their wits and daring to make each spring-loaded environment a weapon in order to dispense of foes in clever and unexpected ways. Also, embark upon thrilling action sequences that remain true to the spirit of previous Indiana Jones adventures.",Indiana Jones and the Staff of Kings,http://www.ign.com/games/indiana-jones/wii-14316971,http://wii.ign.com/articles/994/994513p1.html,49.99 USD,5.0,Wii NDS PS2 PSP PS3 Xbox 360,"June 9, 2009","http://www.ign.com/games/fatal-frame-ii-crimson-butterfly/wii-87940,http://www.ign.com/games/okami/wii-884970,http://www.ign.com/games/back-to-the-future-the-game/wii-116482,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Good,7.1,"Mild Language, Violence",T for Teen,Mediocre
,Action,WayForward Technologies,"In Mighty Flip Champs, players control Alta as she warps through a virtual stack of maze-laden chambers that ""flip"" past like pages of a magical book.  Action takes place on the top screen, with the Touch Screen displaying a reflected preview of the next room, and Alta's projected destination within it.  When it's time to flip, Alta uses her Magical Warp Wand to replace her world with the next one.  Will she land safely on solid ground, or be crushed under it?  By cycling endlessly through room after brain busting room, players will match wits with some of the most inspired traps in puzzle/platforming history.",Mighty Flip Champs,http://www.ign.com/games/mighty-flip-champs/dsi-14328286,http://ds.ign.com/articles/994/994476p1.html,8 USD,8.5,DSi PSP,"June 1, 2009","http://www.ign.com/games/mario-vs-donkey-kong-minis-march-again/dsi-14354718,http://www.ign.com/games/dark-void-zero/dsi-55777,http://www.ign.com/games/hero-of-sparta/dsi-71687,http://www.ign.com/games/the-legend-of-zelda-four-swords-anniversary-edition/dsi-110780,http://www.ign.com/games/plants-vs-zombies/dsi-103167,http://www.ign.com/games/art-style-aquia/dsi-14295129",Great,8.3,Mild Suggestive Themes,E for Everyone,Great
Dusk2Dawn Interactive,"Third-Person, Shooter",Sigma Team,"Crowds of blood-thirsty monsters, crawling from every corner of the secret research base. Gloomy basements and modern labs, darkness changing into blazing bulbs. The only usual thing is: you're in a bad place alone, and there's no one to help you!

Alien Shooter: Revisited is an improved version of a cult 2003 game which won hearts of the huge army of players worldwide. Complete game missions, earning more and more cash for weapons and inventory, use stationary weapons in the hottest places, eliminate monster spawning places with dynamite and increase your firepower with implants and drones. You've saved our poor little planet so many times... but the real hero never stops! Go ahead, great deeds are waiting for you!",Alien Shooter: Revisited,http://www.ign.com/games/alien-shooter-revisited/pc-880,http://pc.ign.com/articles/994/994100p1.html,4.99 USD,7.0,PC,"April 15, 2009","http://www.ign.com/games/ghost-recon-wildlands/pc-20038799,http://www.ign.com/games/tom-clancys-the-division/pc-20004178,http://www.ign.com/games/borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler/pc-20007853,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.3,,,Good
SEGA,Action,Treasure,"A downloadable version of the classic 1997 Genesis/Mega Drive game.

The Gunstar 9 planet was peaceful for many years until the vicious dictator, Colonel Red, kidnapped the Gunstar twins' older brother and used mind control to make him his slave. You'll face many different enemies and bosses as you battle to stop the dictator from unleashing ""Golden Silver the Destructor"" with apocalyptic consequences.",Gunstar Heroes,http://www.ign.com/games/gunstar-heroes/ps3-14307834,http://ps3.ign.com/articles/994/994109p1.html,4.99 USD,8.0,PS3 3DS Gen iPhone PC GG Xbox 360 Wii,"June 11, 2009","http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/metal-gear-solid-5/ps3-149839,http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/the-elder-scrolls-v-skyrim-dragonborn/ps3-146419",Great,8.1,Cartoon Violence,E10+ for Everyone 10 and older,Great
Digital Leisure,Card,,"The deck is shuffled, the blinds are in and it's your move. Call, Raise or even bluff your way All-In with Texas Hold 'em Tournament.  You'll start off in the small Nevada gaming halls working all the way up to the Las Vegas Championship. With multi-round no-limit hold 'em gameplay there are hours of serious poker action awaiting you.

Think you're the best poker player out there? Using the Nintendo Wi-Fi Connection service, start climbing the worldwide rankings by winning online tournaments and see how your poker skills stack up against the world by viewing the online Leaderboard. Texas Hold 'em Tournament also lets you play multiplayer poker with up to five friends, and with full Mii support, you can really bring yourself to the table!",Texas Hold 'em Tournament,http://www.ign.com/games/texas-hold-em-tournament/wii-14318781,http://wii.ign.com/articles/992/992705p1.html,5 USD,5.1,Wii,"June 1, 2009","http://www.ign.com/games/yu-gi-oh-5ds-duel-transer/wii-74934,http://www.ign.com/games/yu-gi-oh-5ds-wheelie-breakers/wii-14325692,http://www.ign.com/games/world-series-of-poker-tournament-of-champions-2007-edition/wii-858004,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Mediocre,5.6,Simulated Gambling,T for Teen,Mediocre
Atari,Action,Terminal Reality,"The real Ghostbusters return in this videogame sequel to the Ghostbusters movies. Stars Harold Ramis, Dan Aykroyd, Ernie Hudson and Bill Murray reunite to reprise their roles as Spengler, Stantz, Zeddmore and Venkman. Supporting the ghost busting crew are the talents of Annie Potts, Brian Doyle Murray and William Atherton.

With Manhattain newly overrun by ghosts and other supernatural creatures, it's up to you to take on the role of a new recruit joining the original, famous Ghostbusters team. Equipped with a variety of unique weapons and gadgets, you will hunt, fight and capture a wide range of uncanny phantasms and demons in an all-new, funny and frightening battle to save New York City from its latest paranormal plague.",Ghostbusters: The Video Game,http://www.ign.com/games/ghostbusters-2009/ps3-14218851,http://ps3.ign.com/articles/992/992635p1.html,59.99 USD,8.0,PS3 Xbox 360 PS2 NDS Wii PSP PC,"June 16, 2009","http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/metal-gear-solid-5/ps3-149839,http://www.ign.com/games/grand-theft-auto-online/ps3-20006859,http://www.ign.com/games/metal-gear-online-mgs5/ps3-20028682,http://www.ign.com/games/the-elder-scrolls-v-skyrim-dragonborn/ps3-146419",Great,8.2,"Comic Mischief, Fantasy Violence, Language",E10+ for Everyone 10 and older,Great
Electronic Arts,Sports,EA Canada,"EA Sports brings tennis to life and allows you to experience the pressure and excitement of competing in the greatest theaters in the game. Perform real life tennis strokes in your living room and control every inch of the court. The 23-player line-up features some of the greatest and most accomplished players in history for you to play, including John McEnroe. Grand Slam Tennis is a genuine tennis experience that truly puts the racket in the palm of your hand!",Grand Slam Tennis,http://www.ign.com/games/grand-slam-tennis/wii-14275416,http://wii.ign.com/articles/992/992615p1.html,49.95 USD,8.5,Wii Xbox 360 PS3,"June 8, 2009","http://www.ign.com/games/wii-sports/wii-826987,http://www.ign.com/games/wii-sports-resort/wii-14266992,http://www.ign.com/games/fifa-2013/wii-115690,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Great,8.1,,E for Everyone,Great
Digital Chocolate,Action,Digital Chocolate,"Rollercoaster Rush features over 70 expertly-designed tracks with realistic coaster physics across three different maps in Australia, France, and the United States.",Rollercoaster Rush,http://www.ign.com/games/3d-rollercoaster-rush/iphone-14353497,http://wireless.ign.com/articles/992/992272p1.html,,6.5,iPhone Cell Cell,"May 28, 2009","http://www.ign.com/games/lego-batman-3-beyond-gotham/iphone-20031090,http://www.ign.com/games/disney-infinity-3/iphone-20036726,http://www.ign.com/games/the-lego-movie-videogame/iphone-20030673,http://www.ign.com/games/fallout-shelter/iphone-20038711,http://www.ign.com/games/lego-batman-3-beyond-gotham/iphone-20031090,http://www.ign.com/games/the-walking-dead-the-game/iphone-150119",Great,8.6,,,Okay
Square Enix,"Real-Time, Strategy",Square Enix,"In Crystal Defenders R2, you must deploy various units, such as Fencers and Black Mages, to stop waves of encroaching monsters from escaping the area with your party's crystals.

There are many types of units to choose from: Some specialize in powerful short-range attacks, some wield far-reaching magicks and still others are equipped with bows, enabling them to bring down aerial foes. Deploy units in strategic locations to take full advantage of their traits. Each time an enemy breaches your defenses and reaches a map's exit, your party will lose crystals. When all your crystals are gone, the game is over.

Crystal Defenders R2 offers several new, challenging maps containing multiple entrances and exits. It also introduces three varieties of Power Crystals, allowing you to enhance the abilities of your units, while new jobs, including Flintlock and Tinker, set the stage for even more complex strategies. Can you defend all the maps without losing a single crystal?",Crystal Defenders R2,http://www.ign.com/games/crystal-defenders-r2/wii-14323025,http://wii.ign.com/articles/984/984132p1.html,8 USD,5.8,Wii,"May 18, 2009","http://www.ign.com/games/pikmin-2/wii-14286473,http://www.ign.com/games/fire-emblem-radiant-dawn/wii-826984,http://www.ign.com/games/phantom-brave/wii-14305688,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Okay,6.4,Mild Fantasy Violence,E for Everyone,Mediocre
Nintendo,"Third-Person, Action",Nintendo EAD,"Link must save the world! This time, he finds himself trapped in Termina, 
an alternate version of Hyrule that is doomed to destruction in just three 
short days. Link must race to recover the Ocarina of Time (which allows 
him to manipulate time in multiple ways), defeat challenging bosses in 
dungeons spread across Termina and discover the key to the mystery of 
Majora's Mask.

Along the way, he'll obtain new weapons and items and help other 
characters (some strangely familiar) in their everyday lives. In addition, 
Link must use a wide assortment of masks scattered throughout Termina, 
each with its own specific use or power. Never before have three days 
offered so much in the way of action, mind-boggling puzzles and depth. 
The Legend of Zelda: Majora's Mask is an adventure unlike any other!",The Legend of Zelda: Majora's Mask,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/wii-14334798,http://wii.ign.com/articles/983/983891p1.html,10 USD,9.5,Wii N64 Wii U,"May 18, 2009","http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155,http://www.ign.com/games/the-legend-of-zelda-twilight-princess/wii-748589,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155,http://www.ign.com/games/the-legend-of-zelda-twilight-princess/wii-748589,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/wii-865246,http://www.ign.com/games/the-last-story/wii-59789,http://www.ign.com/games/the-legend-of-zelda-skyward-sword/wii-872155",Amazing,9.3,Cartoon Violence,E for Everyone,Amazing
