community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
6.2,Okay,"After crash-landing in unknown territory, players must retrieve a magical pearl of power in order to save their homeland of Calli. O.D.T. features four playable characters, (a wizard, a female fighter, a soldier or a mercenary), each with their own unique strengths and weaknesses. Depending on which character a player selects, the gaming outcome may vary. For example, the wizard, who may not possess the maneuvering skills of the mercenary, may need to find an alternative route around an area that the mercenary could scale with ease. Likewise, a mercenary may have trouble dealing with an obstacle that requires a magical presence, in which case the wizard would be very beneficial. Features include 16 different spells, four weapons with nine power-levels each and RPG-like elements with its own player-management system, constitution, weapon control and spirit abilities.",Psygnosis,Action,5.5,Mediocre,PS N64 PC,24.99 USD,Psygnosis,T for Teen,"Blood, Animated Violence","http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","November 30, 1998",http://psx.ign.com/articles/152/152329p1.html,O.D.T.: Escape... ...Or Die Trying,http://www.ign.com/games/odt-escape-or-die-trying/ps-2329
6.0,Okay,"Experience the future of extreme sports today with STREAK: Hoverboard Racing. You can race as 12 different boarders on one of 12 different hoverboards. After selecting a board and rider, use the Training mode to learn the twists and turns of all 12 tracks. Keep in mind that pulling off big stunts will increase your speed. When you want a challenge, try to attain the highest ranking by racing your way through the Streaker Circuit in the Career mode. When the computer-controlled competition doesn't the proper level of challenge, you can race against your friends in a Two-Player split-screen race. If you don't want to race at all, you can concentrate on performing tricks in the Freestyle mode. Do you have the skills to master STREAK: Hoverboard Racing?",Singletrac,Racing,4.5,Bad,PS PSP PS3,51.99 USD,GT Interactive,E for Everyone,,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 26, 1998",http://psx.ign.com/articles/153/153767p1.html,Streak: Hoverboard Racing,http://www.ign.com/games/streak-hoverboard-racing/ps-3767
7.0,Good,"The theme with Nintendo 64 hockey sequels is: The same game in different packaging. Wayne Gretzky?s 3D hockey from Midway did the same thing, and other than a few menu changes and a create a player feature, Acclaim just pulled a Midway. Again, a great simulation NHL Breakaway does have a great simulation based game, it is just very similar to last years version.",Iguana West,Sports,6.0,Okay,N64,27.99 USD,Acclaim Entertainment,E for Everyone,Animated Violence,"http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Nov. 27, 1998",http://ign64.ign.com/articles/159/159947p1.html,NHL Breakaway '99,http://www.ign.com/games/nhl-breakaway-99/n64-9947
6.6,Okay,"Bowling fans can enjoy an evolved form of the game set in the space-age future with MILO'S ASTRO LANES. Milo Terwilliker, whose name graces the alley, is at the center of this bowling universe. You can take advantage of power-ups, strategic points located along the lanes that change the performance of your bowling ball, to knock down the pins. You can also mega-size your ball to mow down more pins, or splinter it into three separate balls to increase your chances. The power-ups can also be used to your advantage as defensive tactics, by transforming your opponent's ball into the size of a pea or melting it with an acid spray. As the game progresses, you'll be rewarded with bonus rounds and more lanes. Enjoy these special attacks, the Multiplayer mode, and more as you raze the competition!",Player 1,Action,6.1,Okay,N64,62.99 USD,Crave Entertainment,E for Everyone,,"http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Nov. 24, 1998",http://ign64.ign.com/articles/152/152295p1.html,Milo's Astro Lanes,http://www.ign.com/games/milos-astro-lanes/n64-2295
5.9,Mediocre,"The pure and unadulterated thrill of competition comes to the Nintendo 64 with FOX SPORTS COLLEGE HOOPS ‘99. You can choose to play as one of 120 big-time college basketball programs. Once you have your team, play an Exhibition mode to get a feel for your team's offense and defense. For more challenging competition, guide your squad through a season and try to make the NCAA Tournament. If you want, you can skip the season and go to a conference tournament, or directly to the Final Four. The Season and Tournament modes will track statistics with the aid of a memory pack. Since there are six different camera angles to play from, you will not miss a second of the action. Lead your team to the big dance with FOX SPORTS COLLEGE HOOPS '99.",Z-Axis,Sports,4.8,Bad,N64,28.99 USD,Fox Interactive,E for Everyone,,"http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Nov. 23, 1998",http://ign64.ign.com/articles/152/152235p1.html,FOX Sports College Hoops '99,http://www.ign.com/games/fox-sports-college-hoops-99/n64-2235
8.4,Great,"The Death Star has been destroyed thanks to Skywalker's and Wedge Antilles' efforts. But the Empire is quickly regaining strength; Rogue Squadron is formed comprising the best pilots in the Alliance. Their current mission: stop the imperial threats over Alliance planets in twelve missions (plus secret). Their vehicles: X-Wings, A-Wings, V-Wings, the snowspeeder and, with the latest patch, even an Episode 1 Naboo Fighter!","Factor 5, LucasArts",Flight,8.3,Great,PC N64,9.99 USD,LucasArts,T for Teen,Animated Violence,"http://www.ign.com/games/squadron-42/pc-20046151,http://www.ign.com/games/star-citizen/pc-144978,http://www.ign.com/games/microsoft-flight/pc-83711,http://www.ign.com/games/lords-of-the-fallen/pc-131477,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/guacamelee/pc-20003228,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Dec 3, 1998",http://pc.ign.com/articles/160/160583p1.html,Star Wars: Rogue Squadron 3D,http://www.ign.com/games/star-wars-rogue-squadron/pc-10583
6.9,Okay,"If you've always wanted to race as a wild animal in a combat car circa the year 3000   strangely enough, your dream has come true. Choose from five animal cars Mammoth, Rhino, Lion, Mantis, or Shark each made unique by its speed, handling, armor, and weapons. Grand Prix Mode gives you three main cups composed of a few races each and there's a customizable cup that can last for up to eight races. In Challenge Mode, you race against one of four additional characters Cheetah, Panther, Cobra, or Scorpion  earning the right to play as that character if you defeat him, which just isn't going to be easy. All of the standard weapons are here (missiles, shields, and turbos), plus some more inventive weapons, such as freeze magnets and energy fields. The best weapon, however, may well be a ticking time bomb that gets passed back and forth between racers until it decides to go off. With inventive combat and characters, exciting graphics, and solid gameplay in the tradition of SUPER MARIO KART, S.C.A.R.S. is an original!",Vivid Image,Racing,7.9,Good,N64,54.99 USD,Ubisoft,E for Everyone,Animated Violence,"http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","Dec. 04, 1998",http://ign64.ign.com/articles/153/153958p1.html,S.C.A.R.S,http://www.ign.com/games/scars/n64-3958
7.2,Good,"Professional boxing comes to the PlayStation with KNOCKOUT KINGS. Choose from 38 professional boxers from all weight classes including Evander Holyfield, Ike Quartey, Lennox Lewis, Michael Moore, Shane Mosley, Oscar De La Hoya, ""Sugar"" Ray Leonard, and Muhammad Ali. For some quick action, choose any two boxers and enter an Arcade match. Arcade matches are less realistic and can result in quick knockouts. However, you can also choose to play in a simulation Exhibition match, where you must master ring strategies and wear down your opponent. If you are looking for a real challenge, create a boxer and fight through the ranks and become world champion. KNOCKOUT KINGS brings the subtlety of the sweet science to your living room, without having pay outrageous pay-per-view prices.",Press Start Studio,Sports,7.3,Good,PS GBC,50.99 USD,Electronic Arts,E for Everyone,"Animated Blood, Animated Violence","http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 25, 1998",http://psx.ign.com/articles/153/153989p1.html,Knockout Kings,http://www.ign.com/games/knockout-kings/ps-3989
7.6,Good,"The future of racing is here, and it's called MOTORHEAD. This game allows you to hop in one of 10 streamlined racers and test your skills on eight obstacle-filled courses that wind through urban, desert, and seaside terrain. Play modes include the standard Time Attack, Single Race, League, and Head-to-Head competition found in any decent racing game. One unique feature of MOTORHEAD is that you can choose between 30 or 60 frames per second. Choosing 60fps gives the game a polished look, but you're limited to a three-car field. While going with 30fps hurts in the visual department, it does expand the field to seven cars; you'll probably want to experiment with both to figure out which one works best for you.. This futuristic racer has impressive visuals and cleverly designed vehicles that help put you in a futuristic state of mind. So if you're in the mood for a fast and fun racing experience, get your hands on MOTORHEAD.",Gremlin Interactive Limited,Racing,5.0,Mediocre,PS PSP PC PS3 PC,26.99 USD,Fox Interactive,E for Everyone,No Descriptors,"http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Nov 30, 1998",http://psx.ign.com/articles/160/160435p1.html,Motorhead,http://www.ign.com/games/motorhead/ps-10435
7.4,Good,"When your town is being overrun with colored blocks, there's only one man to call: MR. DRILLER. Creeping up from deep within the earth, the adorably button-nosed Mr. Driller must get to the bottom of things   literally. MR. DRILLER's Arcade mode requires you to burrow to the bottom of either a 2500- or 5000-foot passage. By facing a direction, Mr. Driller will drill through the block next to him, causing all like-colored blocks touching it to crumble as well. Three obstacles gravity, Mr. Driller's air supply, and the insidious X blocks make this harder than it sounds. Two additional modes, Survival and Time Attack, add to the replay value. MR. DRILLER is a cute puzzle game that harkens back to old-school games like DIG DUG.",ArtDink,Puzzle,7.8,Good,PS,35.99 USD,Acclaim Entertainment,E for Everyone,,"http://www.ign.com/games/one-piece-mansion/ps-488410,http://www.ign.com/games/wheel-of-fortune-1998/ps-10374,http://www.ign.com/games/shanghai-true-valor/ps-11799,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","Dec 2, 1998",http://psx.ign.com/articles/160/160165p1.html,No One Can Stop Mr. Domino,http://www.ign.com/games/no-one-can-stop-mr-domino/ps-10165
