publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
Ubisoft,Strategy,Mathematiques Appliquees,"Conflict Zone is a military real-time strategy game with real-life consequences. There are television cameras trained on your every move so if citizens become outraged at your actions the military?s funding will go down. The campaigns involve not only military units, but also civilians, NGOs and the media. The main goal is to cause the political defeat of its enemy, not to destroy him.",Conflict Zone: Modern War Strategy,http://www.ign.com/games/conflict-zone-modern-war-strategy/dc-14361,http://dreamcast.ign.com/articles/164/164361p1.html,22.99 USD,5.6,DC PS2 PC,"December 20, 2001","http://www.ign.com/games/worms-world-party/dc-14497,http://www.ign.com/games/vermilion-desert/dc-13268,http://www.ign.com/games/sakura-wars-809390/dc-13374,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967",Mediocre,5.4,Violence,T for Teen,Mediocre
3000AD,Simulation,3000AD,"Battlecruiser Millennium is the groundbreaking sequel to the Battlecruiser series. Being the third title in the series, BCM is a technological breakthrough in all aspects of its implementation. Complete with over nine new or enhanced engines, including AI, graphics, soundfx etc, BCM steps into the new millennium flaunting the most advanced and visually splendid title ever seen in the series. In keeping with the tradition of providing endless, top notch gameplay, BCM continues to stretch the limits of player imagination by providing an even more thrilling player experience than any of its predecessors in this long running series.",Battlecruiser Millennium,http://www.ign.com/games/battlecruiser-millennium/pc-17087,http://pc.ign.com/articles/167/167087p1.html,39.99 USD,7.2,PC,"Nov 19, 2001","http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Okay,6.6,Realistic Violence,T for Teen,Good
Konami,Adventure,Konami TYO,"Return to the eerie town of Silent Hill in an all-new story with all-new characters. Players assume the role of James, who receives a cryptic letter from his wife - who has been dead for three years -- beckoning him to meet her in Silent Hill, a place that holds great meaning for the couple. The mystery of the letter frightens and confuses James, compelling him to investigate the surreal horror and all-too-real danger that awaits him.

Set amongst the dense fog and haunting darkness of the eerie town, accompanied by dramatic music presented in Dolby Surround, Silent Hill 2 pushes the boundaries of macabre horror. Benefiting from the advanced technological power of the Xbox, the visual expressions of the characters, weather conditions and the charnel-house gore of the game are intensely frightening. Players face over 10 new types of enemies and have access to a variety of new weapons, including a pistol and a steel pipe.",Silent Hill 2: Restless Dreams,http://www.ign.com/games/silent-hill-2/xbox-16240,http://xbox.ign.com/articles/166/166240p1.html,9.99 USD,8.2,Xbox PC PS2,December 2001,"http://www.ign.com/games/call-of-cthulhu-dark-corners-of-the-earth/xbox-496019,http://www.ign.com/games/dreamfall-the-longest-journey/xbox-735105,http://www.ign.com/games/tom-clancys-splinter-cell/xbox-481175,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Great,8.6,"Blood, Gore, Animated Violence",M for Mature,Great
BAM! Entertainment,Action,Sennari Interactive,"Blossom, Buttercup and Bubbles, are flying on the GameBoy Advance. It seems that Mojo Jojo has stolen the city's jewels and has used them to power an army of cybernetic robots called ""Mobots"". With the Mobots unleashing a reign of terror on Townsville, it is up to The Powerpuff Girls to defeat Mojo Jojo and his minions and stop that bad little monkey from taking over Townsville!",The Powerpuff Girls: Mojo Jojo A-Go-Go!,http://www.ign.com/games/the-powerpuff-girls-mojo-jojo-a-go-go/gba-16760,http://gameboy.ign.com/articles/166/166760p1.html,11.99 USD,6.5,GBA,November 2001,"http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Okay,6.6,Mild Violence,E for Everyone,Okay
Microsoft,Sports,High Voltage Software,"NBA Inside Drive 2002 gets you into the game like never before! You're the player, the coach, and the general manager all in one. Take control of your favorite players & teams and lead them to the championship! Trade players and ink deals with free agents. Assemble your own playbook, then get your kicks on the court and take it to the hole. You can even change your team's strategy on the fly.

Complete with all-star play-by-play and color commentary from Kevin Calabro and Marques Johnson, NBA Inside Drive 2002 brings all the excitement and intensity of NBA basketball straight to the Xbox!",NBA Inside Drive 2002,http://www.ign.com/games/nba-inside-drive-2002/xbox-16770,http://xbox.ign.com/articles/166/166770p1.html,4.99 USD,8.7,Xbox,"January 23, 2002","http://www.ign.com/games/espn-nfl-2k5/xbox-674666,http://www.ign.com/games/dead-or-alive-xtreme-beach-volleyball/xbox-482154,http://www.ign.com/games/tony-hawks-american-wasteland/xbox-740724,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Good,7.7,No Descriptors,E for Everyone,Great
THQ,Action,HotGen Studios,"Deflect. Defeat. Destroy! Let the Force guide you to victory. Take back the Theed Royal Palace in fast and furious lightsaber assaults as one of three powerful Jedi: Obi-Wan Kenobi, Qui-Gon Jinn, or Mace Windu.",Star Wars: Jedi Power Battles,http://www.ign.com/games/star-wars-episode-i-jedi-power-battles/gba-16385,http://gameboy.ign.com/articles/166/166385p1.html,26.99 USD,4.0,GBA PS DC PS,"November 22, 2001","http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Okay,6.1,Mild Animated Violence,T for Teen,Bad
Nintendo,Sports,"Left Field  Productions, Inc.","Developed exclusively for Nintendo GameCube by Nintendo and Left Field, NBA Courtside 2002 taps into the power of Nintendo GameCube to deliver authentic NBA action that makes those other games look like they're stuck in the era of the two-handed jump shot. Up to four players can hit the hardwood simultaneously and talk trash to their hearts' content as they bust sweet cross-overs, first-step jukes and monster dunks.",NBA Courtside 2002,http://www.ign.com/games/nba-courtside-2002/gcn-16576,http://cube.ign.com/articles/166/166576p1.html,4.99 USD,7.5,GCN,"January 14, 2002","http://www.ign.com/games/bmx-xxx/gcn-17510,http://www.ign.com/games/mario-superstar-baseball/gcn-716495,http://www.ign.com/games/madden-nfl-2006/gcn-698630,http://www.ign.com/games/the-legend-of-zelda-the-wind-waker/gcn-17012,http://www.ign.com/games/super-smash-bros-melee/gcn-16387,http://www.ign.com/games/super-mario-sunshine/gcn-16713",Good,7.6,Suitable for Persons Ages Six and Older,E for Everyone,Good
Bandai,Strategy,Bandai,"Zeonic Front is a 3D action game with an extremely heavy tactical bent, requiring that you manage up to three mobile suit teams both before and during a mission, planning out their routes and tactics in advance and adapting during battle to the conditions you encounter. This is accomplished through a waypoint-based navigation system -- you design the path you want a team to follow by connecting the dots around a map, and picking out particular points along the way where they should accomplish certain tasks. Rather, you need to learn the game's unique strategic principles, and more specifically, you have to learn the strategies that will win each mission. Zeonic Front features a wide variety of missions, from assault to defense to escort to intelligence-gathering, and plenty of different ways to customize the four available mobile suits: Zaku I, Zaku II, Gouf, and Dom.",Mobile Suit Gundam: Zeonic Front,http://www.ign.com/games/mobile-suit-gundam-zeonic-front/ps2-16456,http://ps2.ign.com/articles/166/166456p1.html,12.99 USD,6.5,PS2,"January 16, 2002","http://www.ign.com/games/yu-gi-oh-gx-the-beginning-of-destiny/ps2-951226,http://www.ign.com/games/disgaea-1/ps2-535848,http://www.ign.com/games/front-mission-4/ps2-573997,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.5,Animated Violence,T for Teen,Okay
Midway  Games,Racing,Graphic State,"Hop into the driver's seat and prepare for the ride of your life in Cruis'n Velocity.  Grab the steering wheel of 10 different speed machines and race through 14 tracks, including Las Vegas and Mars!  Choose from the three gameplay modes of Cruis'n Cup, Championship and Freestyle mode as you challenge up to four of your friends using the Game Boy Advance Game Link cable (sold seperately).",Cruis'n Velocity,http://www.ign.com/games/cruisn-velocity/gba-17122,http://gameboy.ign.com/articles/167/167122p1.html,9.99 USD,6.0,GBA,November 2001,"http://www.ign.com/games/mario-kart-super-circuit/gba-15249,http://www.ign.com/games/moto-racer-advance/gba-482173,http://www.ign.com/games/disney-sports-motocross/gba-490740,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Mediocre,5.1,,E for Everyone,Okay
Midway  Games,Action,Pocket Studios,"You want classic action? Midway's Greatest Arcade Hits has your coin-operated excitement right here, delivering re-creations of 80s mega-hits. Sporting a decidedly sci-fi bent, the collection sends you to space in both DEFENDER and SINISTAR, and then whisks you off to the future for the likes of ROBOTRON 2084 and the inimitable JOUST. You don't have to remember the heyday of these 80s faves to get plenty of mileage from this collection.",Midway's Greatest Arcade Hits,http://www.ign.com/games/midways-greatest-arcade-hits/gba-17145,http://gameboy.ign.com/articles/167/167145p1.html,19.99 USD,3.5,GBA,November 2001,"http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/the-legend-of-zelda-the-minish-cap/gba-499614,http://www.ign.com/games/dragon-ball-z-the-legacy-of-goku/gba-17519,http://www.ign.com/games/final-fantasy-i-and-ii-dawn-of-souls/gba-479100,http://www.ign.com/games/v-rally-checkered-flag/gba-801468,http://www.ign.com/games/paperboy/gba-746808,http://www.ign.com/games/metroid-fusion/gba-16227,http://www.ign.com/games/pokemon-emerald-version/gba-692344,http://www.ign.com/games/pokemon-ruby-version/gba-17508",Mediocre,5.8,Mild Violence,E for Everyone,Awful
